Developer,Genre,Name,Platform,Publisher,Rating,Year of Release,Critic Count,Critic Score,EU Sales,Global Sales,JP Sales,NA Sales,Other Sales,Rank,User Count,User Score
Delphine Software International,Role-Playing,Darkstone,PS,Electronic Arts,T,2001,10,58,0.25,0.66,0,0.37,0.04,3061,12,8.3
NuFX,Sports,NCAA March Madness 2003,PS2,Electronic Arts,E,2002,13,74,0.25,0.66,0,0.32,0.08,3062,27,8
Traveller's Tales,Action,Finding Nemo,XB,THQ,E,2003,11,62,0.18,0.89,0,0.69,0.02,3063,8,5.5
Frontier Developments,Strategy,Thrillville,PS2,Atari,E10+,2006,32,69,0.02,0.66,0,0.55,0.09,3064,52,2.9
Frontier Developments,Strategy,Thrillville,PS2,Atari,E10+,2006,13,72,0,0.2,0,0.18,0.02,3064,39,2.8
EA Canada,Sports,NHL 10,X360,Electronic Arts,E10+,2009,52,88,0.1,0.66,0,0.51,0.06,3065,71,8.4
EA Canada,Sports,NHL 10,X360,Electronic Arts,E10+,2009,35,88,0.12,0.57,0,0.38,0.07,3065,40,7.9
Toys for Bob,Platform,Madagascar,GC,Activision,E10+,2005,25,69,0.45,1.31,0,0.78,0.07,3067,25,7.4
Ubisoft Montpellier,Platform,Rayman Legends,PS3,Ubisoft,E10+,2013,35,92,0.33,0.66,0.03,0.25,0.05,3071,465,8.7
Ubisoft Montpellier,Platform,Rayman Legends,PS3,Ubisoft,E10+,2013,23,91,0.34,0.58,0,0.14,0.1,3071,310,8.7
Ubisoft Montpellier,Platform,Rayman Legends,PS3,Ubisoft,E10+,2013,35,90,0.2,0.43,0,0.19,0.04,3071,217,8.2
Ubisoft Montpellier,Platform,Rayman Legends,PS3,Ubisoft,E10+,2014,16,90,0.64,1.01,0,0.22,0.16,3071,525,8.5
Ubisoft Montpellier,Platform,Rayman Legends,PS3,Ubisoft,E10+,2014,6,91,0.18,0.34,0,0.13,0.03,3071,218,7.9
Ubisoft Montpellier,Platform,Rayman Legends,PS3,Ubisoft,E10+,2014,8,87,0.1,0.14,0,0.01,0.03,3071,159,8.4
Capcom,Fighting,Street Fighter Anniversary Collection,PS2,Capcom,T,2004,30,78,0.25,0.66,0,0.32,0.08,3073,20,8.7
Capcom,Fighting,Street Fighter Anniversary Collection,PS2,Capcom,T,2004,33,79,0.03,0.15,0,0.11,0.01,3073,9,6.4
Creative Assembly,Strategy,Napoleon: Total War,PC,Sega,T,2010,56,81,0.53,0.66,0,0.02,0.12,3075,515,7.9
"Koei, Omega Force",Action,Fist of the North Star: Ken's Rage,PS3,Ubisoft Annecy,M,2010,30,60,0.03,0.66,0.55,0.06,0.01,3076,29,6.9
Koei,Action,Fist of the North Star: Ken's Rage,PS3,Ubisoft Annecy,M,2010,38,59,0.02,0.16,0.06,0.07,0.01,3076,23,7.3
Suzak,Platform,Wario: Master of Disguise,DS,Nintendo,E10+,2007,35,60,0.02,0.65,0.33,0.28,0.03,3077,19,7.4
Maxis,Simulation,The Sims: Bustin' Out,GC,Electronic Arts,T,2003,26,81,1.19,2.43,0,1.07,0.18,3079,42,8.4
Maxis,Simulation,The Sims: Bustin' Out,GC,Electronic Arts,T,2003,30,81,0.2,0.66,0,0.43,0.03,3079,15,9
Maxis,Simulation,The Sims: Bustin' Out,GC,Electronic Arts,T,2003,26,81,0.14,0.56,0,0.4,0.02,3079,12,8.9
EA Tiburon,Sports,Tiger Woods PGA Tour 09,PS3,Electronic Arts,E,2008,34,82,0.22,0.65,0,0.34,0.1,3080,9,7.2
EA Tiburon,Sports,Tiger Woods PGA Tour 09,PS3,Electronic Arts,E,2008,41,84,0.23,0.65,0,0.35,0.07,3080,29,7.8
Exient Entertainment,Sports,Tiger Woods PGA Tour 09,PS3,Electronic Arts,E,2008,4,53,0.18,0.36,0,0.07,0.1,3080,6,5.5
TT Games,Action,LEGO Marvel Super Heroes,PSV,Warner Bros. Interactive Entertainment,E10+,2013,37,80,0.79,2.22,0,1.24,0.19,3082,127,7.6
TT Games,Action,LEGO Marvel Super Heroes,PSV,Warner Bros. Interactive Entertainment,E10+,2013,22,82,0.76,1.84,0.01,0.77,0.29,3082,76,7.9
TT Games,Action,LEGO Marvel Super Heroes,PSV,Warner Bros. Interactive Entertainment,E10+,2013,22,83,0.76,1.62,0.01,0.59,0.26,3082,262,7.7
TT Games,Action,LEGO Marvel Super Heroes,PSV,Warner Bros. Interactive Entertainment,E10+,2013,4,61,0.36,0.9,0.04,0.42,0.07,3082,11,5.2
TT Games,Action,LEGO Marvel Super Heroes,PSV,Warner Bros. Interactive Entertainment,E10+,2013,8,82,0.35,0.74,0.02,0.31,0.06,3082,71,8
TT Games,Action,LEGO Marvel Super Heroes,PSV,Warner Bros. Interactive Entertainment,E10+,2013,7,78,0.12,0.17,0,0.04,0.01,3082,124,8.1
TOSE,Action,Shrek: Hassle at the Castle,GBA,TDK Mediactive,E,2002,7,71,0.17,0.66,0,0.47,0.01,3084,5,7.4
KCET,Role-Playing,Suikoden IV,PS2,Konami Digital Entertainment,T,2004,44,63,0.13,0.66,0.3,0.17,0.05,3085,47,7.3
"Shift, Bandai Namco Games",Action,Gods Eater Burst,PSP,Namco Bandai Games,T,2010,30,71,0,0.66,0.62,0.03,0,3086,35,7.9
Gearbox Software,Shooter,Brothers In Arms: Road to Hill 30,XB,Ubisoft,M,2005,64,88,0.14,0.66,0,0.49,0.02,3089,69,8
Gearbox Software,Shooter,Brothers In Arms: Road to Hill 30,XB,Ubisoft,M,2005,30,82,0.01,0.46,0,0.38,0.06,3089,30,7.6
EA Tiburon,Sports,Madden NFL 10,PSP,Electronic Arts,E,2009,58,85,0.09,2.83,0,2.52,0.22,3090,90,6.1
EA Tiburon,Sports,Madden NFL 10,PSP,Electronic Arts,E,2009,41,85,0.13,2.37,0,2.03,0.21,3090,58,6.8
EA Tiburon,Sports,Madden NFL 10,PSP,Electronic Arts,E,2009,23,77,0.04,0.72,0,0.62,0.06,3090,24,7.2
Codemasters,Racing,F1 2015,PS4,Codemasters,E,2015,46,65,0.45,0.66,0.03,0.09,0.1,3093,43,6.3
Codemasters,Racing,F1 2015,PS4,Codemasters,E,2015,13,64,0.15,0.25,0,0.08,0.02,3093,22,5.3
Codemasters,Racing,F1 2015,PS4,Codemasters,E,2015,13,61,0.05,0.05,0,0,0,3093,63,3.6
"Krome Studios, Screenlife Games",Misc,Scene It? Box Office Smash,X360,Microsoft Game Studios,T,2008,32,76,0.25,0.65,0,0.33,0.07,3094,25,7.4
Electronic Arts,Sports,NHL 13,PS3,Electronic Arts,E10+,2012,44,83,0.1,0.66,0,0.51,0.05,3097,86,6.6
Electronic Arts,Sports,NHL 13,PS3,Electronic Arts,E10+,2012,22,84,0.21,0.64,0,0.33,0.09,3097,60,6.8
"Luxoflux, Inc.",Action,Kung Fu Panda,PS2,Activision,E10+,2008,42,75,0.84,3.04,0,1.91,0.29,3098,32,7.4
Xpec,Action,Kung Fu Panda,PS2,Activision,E10+,2008,20,70,0.32,0.91,0,0.5,0.09,3098,7,6.7
Xpec,Action,Kung Fu Panda,PS2,Activision,E10+,2008,6,73,0,0.65,0,0.24,0.41,3098,5,8.6
"Luxoflux, Inc.",Action,Kung Fu Panda,PS2,Activision,E10+,2008,23,76,0.21,0.51,0,0.21,0.09,3098,18,7.3
Beenox,Action,Kung Fu Panda,PS2,Activision,E10+,2008,11,71,0.02,0.02,0,0,0,3098,12,7.8
Ubisoft Shanghai,Strategy,Tom Clancy's EndWar,PS3,Ubisoft,T,2008,63,77,0.24,0.91,0.01,0.58,0.09,3099,53,7.2
Ubisoft Shanghai,Strategy,Tom Clancy's EndWar,PS3,Ubisoft,T,2008,33,76,0.22,0.66,0.01,0.33,0.1,3099,42,6.6
"Funatics Software, Funatics",Strategy,Tom Clancy's EndWar,PS3,Ubisoft,T,2008,7,68,0.01,0.11,0,0.1,0.01,3099,8,5.9
"Funatics Software, Funatics",Strategy,Tom Clancy's EndWar,PS3,Ubisoft,T,2008,11,69,0.01,0.09,0,0.08,0.01,3099,4,5.8
Ubisoft Shanghai,Strategy,Tom Clancy's EndWar,PS3,Ubisoft,T,2009,24,68,0.02,0.02,0,0,0,3099,42,6.7
Tango Gameworks,Action,The Evil Within,XOne,Bethesda Softworks,M,2014,65,75,0.86,1.79,0.11,0.55,0.27,3100,1223,7.3
Tango Gameworks,Action,The Evil Within,XOne,Bethesda Softworks,M,2014,24,79,0.25,0.67,0,0.35,0.06,3100,430,7.3
Tango Gameworks,Action,The Evil Within,XOne,Bethesda Softworks,M,2014,18,68,0.16,0.27,0,0.1,0.02,3100,721,5.9
EA Tiburon,Sports,Tiger Woods PGA Tour 09,X360,Electronic Arts,E,2008,34,82,0.22,0.65,0,0.34,0.1,3101,9,7.2
EA Tiburon,Sports,Tiger Woods PGA Tour 09,X360,Electronic Arts,E,2008,41,84,0.23,0.65,0,0.35,0.07,3101,29,7.8
Exient Entertainment,Sports,Tiger Woods PGA Tour 09,X360,Electronic Arts,E,2008,4,53,0.18,0.36,0,0.07,0.1,3101,6,5.5
Tri-Ace,Role-Playing,Radiata Stories,PS2,Square Enix,T,2005,36,74,0.14,0.65,0.29,0.18,0.05,3102,54,9
Amusement Vision,Racing,F-Zero GX,GC,Nintendo,T,2003,50,89,0.11,0.65,0.12,0.41,0.02,3103,161,8.5
Avalanche Software,Platform,Disney's Chicken Little,PS2,Disney Interactive Studios,E10+,2005,20,60,0.25,0.65,0,0.32,0.08,3104,7,8.9
Heavy Iron Studios,Platform,Wall-E,PSP,THQ,E,2008,18,51,0.4,1.01,0,0.51,0.11,3105,8,3.6
Asobo Studio,Platform,Wall-E,PSP,THQ,E,2008,8,67,0,0.75,0,0.21,0.54,3105,9,8.4
Heavy Iron Studios,Platform,Wall-E,PSP,THQ,E,2008,32,50,0.26,0.62,0,0.29,0.07,3105,6,6.3
Heavy Iron Studios,Platform,Wall-E,PSP,THQ,E,2008,24,51,0.21,0.4,0,0.12,0.08,3105,7,5
Heavy Iron Studios,Platform,Wall-E,PSP,THQ,E,2008,6,58,0.01,0.02,0,0,0,3105,17,6.8
Artoon,Platform,Yoshi Topsy-Turvy,GBA,Nintendo,E,2004,23,60,0.09,0.65,0.3,0.25,0.01,3106,5,6.6
Asobo Studio,Action,Up,DS,THQ,E10+,2009,6,62,0.28,0.56,0,0.22,0.06,3107,4,8
Heavy Iron Studios,Action,Up,DS,THQ,E10+,2009,18,61,0.07,0.29,0,0.2,0.03,3107,6,6.8
Heavy Iron Studios,Action,Up,DS,THQ,E10+,2009,5,65,0.06,0.25,0,0.15,0.03,3107,4,6.5
Ubisoft,Racing,Monster Jam: Maximum Destruction,PS2,Ubisoft,T,2002,11,47,0.25,0.65,0,0.32,0.08,3108,6,6
Epicenter Studios,Action,Real Heroes: Firefighter,Wii,Rondomedia,E10+,2009,18,67,0.04,0.64,0,0.56,0.05,3109,10,8.2
Planet Moon Studios,Puzzle,Drawn to Life: The Next Chapter,DS,THQ,E,2009,22,58,0.39,0.75,0,0.28,0.08,3112,8,6
5TH Cell,Puzzle,Drawn to Life: The Next Chapter,DS,THQ,E,2009,21,72,0.14,0.64,0,0.44,0.06,3112,22,7.7
SCEA San Diego Studios,Sports,MLB 14: The Show,PS4,Sony Computer Entertainment America,E,2014,17,83,0,0.72,0,0.58,0.14,3113,205,7.7
SCEA San Diego Studios,Sports,MLB 14: The Show,PS4,Sony Computer Entertainment America,E,2014,26,81,0,0.43,0,0.35,0.08,3113,79,6.8
SCEA San Diego Studios,Sports,MLB 14: The Show,PS4,Sony Computer Entertainment America,E,2014,6,68,0,0.11,0,0.08,0.03,3113,25,7
EA Tiburon,Sports,Tiger Woods PGA Tour 10,X360,Electronic Arts,E,2009,44,88,0.36,1.07,0,0.6,0.11,3114,57,8.8
EA Tiburon,Sports,Tiger Woods PGA Tour 10,X360,Electronic Arts,E,2009,38,81,0.25,0.78,0,0.42,0.11,3114,9,7.7
EA Tiburon,Sports,Tiger Woods PGA Tour 10,X360,Electronic Arts,E,2009,51,80,0.2,0.65,0,0.39,0.06,3114,20,6.9
Intelligent Systems,Strategy,Advance Wars 2: Black Hole Rising,GBA,Nintendo,E,2003,34,89,0.17,0.65,0,0.47,0.01,3115,97,9.4
Intelligent Systems,Role-Playing,Fire Emblem: Shadow Dragon,DS,Nintendo,E10+,2008,42,81,0.02,0.61,0.27,0.29,0.03,3116,106,7
Cavia Inc.,Role-Playing,Drakengard,PS2,Square Enix,M,2003,55,63,0.15,0.65,0.26,0.19,0.05,3118,88,9.1
Snowblind Studios,Role-Playing,Champions: Return to Arms,PS2,Sony Online Entertainment,T,2005,48,77,0.25,0.65,0,0.32,0.08,3121,43,8.8
Electronic Arts,Action,Harry Potter and the Goblet of Fire,PS2,Electronic Arts,E10+,2005,29,68,0.02,0.65,0,0.54,0.09,3122,48,6.7
Magic Pockets,Action,Harry Potter and the Goblet of Fire,PS2,Electronic Arts,E,2005,9,71,0.16,0.61,0,0.44,0.01,3122,8,6
Electronic Arts,Action,Harry Potter and the Goblet of Fire,PS2,Electronic Arts,E10+,2005,20,69,0.08,0.42,0,0.32,0.01,3122,13,6.3
Electronic Arts,Action,Harry Potter and the Goblet of Fire,PS2,Electronic Arts,E10+,2005,26,68,0.05,0.23,0,0.18,0.01,3122,10,5.8
Magic Pockets,Action,Harry Potter and the Goblet of Fire,PS2,Electronic Arts,E,2005,15,68,0.01,0.23,0,0.2,0.02,3122,6,6
Electronic Arts,Action,Harry Potter and the Goblet of Fire,PS2,Electronic Arts,E10+,2005,13,70,0,0.19,0,0.17,0.02,3122,16,7.4
Rainbow Studios,Racing,MX vs. ATV Untamed,PSP,THQ,E,2007,43,70,0.08,0.68,0,0.55,0.06,3125,17,7.1
Rainbow Studios,Racing,MX vs. ATV Untamed,PSP,THQ,E,2007,33,67,0.06,0.46,0,0.35,0.05,3125,8,6.1
Rainbow Studios,Racing,MX vs. ATV Untamed,PSP,THQ,E,2007,13,53,0.01,0.38,0,0.32,0.05,3125,5,8.2
Rainbow Studios,Racing,MX vs. ATV Untamed,PSP,THQ,E,2008,7,70,0.02,0.33,0,0.28,0.02,3125,9,8.3
Team Ninja,Fighting,Dead or Alive 5,PS3,Tecmo Koei,M,2012,34,74,0.14,0.64,0.2,0.23,0.07,3127,109,7.7
Team Ninja,Fighting,Dead or Alive 5,PS3,Ubisoft Annecy,M,2012,39,76,0.08,0.32,0.03,0.19,0.03,3127,95,7.9
TOSE,Role-Playing,Star Ocean: First Departure,PSP,Square Enix,T,2007,32,74,0.13,0.64,0.22,0.2,0.09,3128,28,7.4
BioWare,Role-Playing,Dragon Age: Inquisition,PS3,Electronic Arts,M,2014,43,89,0.88,2.01,0.08,0.73,0.32,3130,1984,7.4
BioWare,Role-Playing,Dragon Age: Inquisition,PS3,Electronic Arts,M,2014,28,85,0.28,0.93,0,0.56,0.09,3130,703,6.9
BioWare,Role-Playing,Dragon Age: Inquisition,PS3,Electronic Arts,M,2014,45,85,0.34,0.73,0,0.33,0.06,3130,3926,5.9
iNiS,Misc,The Black Eyed Peas Experience,Wii,Ubisoft,T,2011,17,66,0.1,0.32,0,0.2,0.03,3131,8,5.8
Capcom,Action,Sengoku Basara: Samurai Heroes,PS3,Capcom,T,2010,37,61,0.04,0.64,0.4,0.17,0.02,3133,29,7.9
Capcom,Action,Sengoku Basara: Samurai Heroes,PS3,Capcom,T,2010,18,65,0.01,0.29,0.2,0.06,0.01,3133,13,8.8
Crytek,Shooter,Crysis 3,PC,Electronic Arts,M,2013,45,76,0.31,0.9,0.01,0.51,0.08,3134,344,6.7
Crytek,Shooter,Crysis 3,PC,Electronic Arts,M,2013,23,77,0.42,0.87,0.03,0.26,0.16,3134,288,6.3
Crytek,Shooter,Crysis 3,PC,Electronic Arts,M,2013,47,76,0.39,0.63,0,0.17,0.07,3134,1223,6.5
EA Bright Light,Action,Harry Potter and the Half-Blood Prince,PS2,Electronic Arts,E10+,2009,35,60,0.39,0.75,0,0.28,0.08,3136,8,6
EA Bright Light,Action,Harry Potter and the Half-Blood Prince,PS2,Electronic Arts,E,2009,9,48,0.34,0.61,0,0.2,0.07,3136,7,4.3
EA Bright Light,Action,Harry Potter and the Half-Blood Prince,PS2,Electronic Arts,E10+,2009,35,66,0.12,0.33,0,0.15,0.05,3136,17,7.1
EA Bright Light,Action,Harry Potter and the Half-Blood Prince,PS2,Electronic Arts,E10+,2009,38,64,0.11,0.31,0,0.17,0.03,3136,11,6.8
EA Bright Light,Action,Harry Potter and the Half-Blood Prince,PS2,Electronic Arts,E10+,2009,14,64,0.03,0.03,0,0,0,3136,35,6.1
Vicarious Visions,Platform,Crash Bandicoot Purple: Ripto's Rampage,GBA,Vivendi Games,E,2004,23,67,0.17,0.64,0,0.46,0.01,3137,12,6.6
Blizzard Entertainment,Role-Playing,Diablo III,XOne,Activision,M,2012,86,88,2.16,5.14,0,2.44,0.54,3138,9629,4
Blizzard Entertainment,Role-Playing,Diablo III,XOne,Activision,M,2013,43,86,0.75,1.91,0.15,0.72,0.29,3138,557,6.4
Blizzard Entertainment,Role-Playing,Diablo III,XOne,Activision,M,2013,42,87,0.39,1.41,0,0.9,0.12,3138,384,6.6
Eurocom Entertainment Software,Platform,Spyro: A Hero's Tail,PS2,Vivendi Games,E,2004,16,60,0.25,0.64,0,0.32,0.08,3139,44,8
Eurocom Entertainment Software,Platform,Spyro: A Hero's Tail,PS2,Vivendi Games,E,2004,13,62,0.06,0.29,0,0.22,0.01,3139,10,8.3
Eurocom Entertainment Software,Platform,Spyro: A Hero's Tail,PS2,Vivendi Games,E,2004,17,64,0.03,0.14,0,0.11,0.01,3139,10,9.1
Amaze Entertainment,Action,Crash of the Titans,PSP,Vivendi Games,E,2007,8,73,0.02,0.48,0,0.42,0.04,3140,10,5.9
Radical Entertainment,Action,Crash of the Titans,PSP,Vivendi Games,E10+,2007,16,69,0.02,0.45,0,0.39,0.03,3140,22,5.8
Radical Entertainment,Action,Crash of the Titans,PSP,Vivendi Games,E10+,2007,12,70,0.01,0.41,0,0.34,0.06,3140,48,5.9
Radical Entertainment,Action,Crash of the Titans,PSP,Vivendi Games,E10+,2007,25,65,0.02,0.32,0,0.27,0.02,3140,39,6.3
Gearbox Software,Shooter,Aliens: Colonial Marines,PS3,Sega,M,2013,47,48,0.34,0.77,0,0.36,0.07,3141,449,3.8
Gearbox Software,Shooter,Aliens: Colonial Marines,PS3,Sega,M,2013,25,43,0.29,0.6,0,0.2,0.11,3141,295,3.6
Gearbox Software,Shooter,Aliens: Colonial Marines,PS3,Sega,M,2013,40,45,0.06,0.18,0,0.1,0.02,3141,1156,3.5
Traveller's Tales,Platform,Crash: Twinsanity,PS2,Vivendi Games,E,2004,38,64,0.25,0.64,0,0.32,0.08,3142,129,8
Traveller's Tales,Platform,Crash: Twinsanity,PS2,Vivendi Games,E,2004,30,66,0.03,0.15,0,0.11,0.01,3142,29,8.7
Rockstar Vienna,Shooter,Max Payne 2: The Fall of Max Payne,XB,Take-Two Interactive,M,2003,27,73,0.51,1.34,0,0.65,0.17,3144,63,8.2
Remedy Entertainment,Shooter,Max Payne 2: The Fall of Max Payne,XB,Take-Two Interactive,M,2003,34,84,0.15,0.64,0,0.47,0.02,3144,49,8.4
Remedy Entertainment,Shooter,Max Payne 2: The Fall of Max Payne,XB,Take-Two Interactive,M,2003,46,86,0.02,0.03,0,0,0,3144,802,9
Spike,Fighting,Dragon Ball: Raging Blast 2,X360,Namco Bandai Games,T,2010,27,60,0.18,0.81,0.11,0.42,0.09,3145,63,7.5
Spike,Fighting,Dragon Ball: Raging Blast 2,X360,Namco Bandai Games,T,2010,33,57,0.09,0.64,0.01,0.49,0.05,3145,30,7.4
EA LA,Shooter,GoldenEye: Rogue Agent,PS2,Electronic Arts,T,2004,38,60,0.02,0.64,0,0.54,0.09,3146,32,7
EA LA,Shooter,GoldenEye: Rogue Agent,PS2,Electronic Arts,T,2004,55,61,0.13,0.49,0,0.34,0.02,3146,20,7.2
EA LA,Shooter,GoldenEye: Rogue Agent,PS2,Electronic Arts,T,2004,35,60,0.07,0.36,0,0.28,0.01,3146,14,6.7
"EA Tiburon, n-Space",Shooter,GoldenEye: Rogue Agent,PS2,Electronic Arts,T,2005,25,58,0,0.11,0,0.1,0.01,3146,18,7.5
Visual Concepts,Sports,NBA 2K17,XOne,Take-Two Interactive,E,2016,47,88,0.27,1.88,0.02,1.25,0.34,3147,162,6.7
Visual Concepts,Sports,NBA 2K17,XOne,Take-Two Interactive,E,2016,17,90,0.06,1.02,0,0.86,0.11,3147,91,6.2
Visual Concepts,Sports,NBA 2K17,XOne,Take-Two Interactive,E,2016,6,90,0.01,0.01,0,0,0,3147,52,6.3
Capcom,Shooter,Lost Planet: Extreme Condition,PS3,Capcom,T,2006,76,79,0.04,1.34,0.1,1.09,0.1,3148,187,7.1
Capcom,Shooter,Lost Planet: Extreme Condition,PS3,Capcom,T,2008,34,67,0.17,0.64,0.07,0.31,0.08,3148,36,7
Firaxis Games,Strategy,XCOM: Enemy Unknown,X360,Take-Two Interactive,M,2012,57,89,0.36,0.71,0,0.27,0.08,3149,2235,8.2
Firaxis Games,Strategy,XCOM: Enemy Unknown,X360,Take-Two Interactive,M,2012,35,90,0.21,0.62,0,0.36,0.05,3149,366,8.3
Firaxis Games,Strategy,XCOM: Enemy Unknown,X360,Take-Two Interactive,M,2012,20,89,0.23,0.57,0,0.24,0.1,3149,296,8.2
Ubisoft Casablanca,Platform,Rayman 3D,3DS,Ubisoft,E,2011,39,61,0.35,0.64,0,0.23,0.06,3150,48,6.6
TT Games,Action,LEGO Marvel's Avengers,PS4,Warner Bros. Interactive Entertainment,E10+,2016,70,71,0.35,0.73,0,0.26,0.12,3151,87,7
TT Games,Action,LEGO Marvel's Avengers,PS4,Warner Bros. Interactive Entertainment,E10+,2016,18,71,0.12,0.35,0,0.19,0.03,3151,15,5.1
TT Games,Action,LEGO Marvel's Avengers,PS4,Warner Bros. Interactive Entertainment,E10+,2016,4,69,0.1,0.24,0,0.12,0.02,3151,15,6.8
TT Games,Action,LEGO Marvel's Avengers,PS4,Warner Bros. Interactive Entertainment,E10+,2016,4,60,0.09,0.19,0.01,0.07,0.01,3151,15,7.1
Griptonite Games,Shooter,James Bond 007: Everything or Nothing,XB,Electronic Arts,T,2003,17,73,0.04,0.17,0,0.12,0,3152,11,8.3
EA Redwood Shores,Shooter,James Bond 007: Everything or Nothing,XB,Electronic Arts,T,2004,42,84,1.06,2.31,0.09,0.85,0.32,3152,51,9.1
EA Redwood Shores,Shooter,James Bond 007: Everything or Nothing,XB,Electronic Arts,T,2004,51,83,0.19,0.64,0,0.43,0.02,3152,27,7.4
EA Redwood Shores,Shooter,James Bond 007: Everything or Nothing,XB,Electronic Arts,T,2004,41,84,0.08,0.42,0,0.32,0.01,3152,25,8.2
GenePool,Platform,X2: Wolverine's Revenge,PS2,Activision,T,2003,24,58,0.24,0.64,0,0.31,0.08,3153,13,7.2
GenePool,Platform,X2: Wolverine's Revenge,PS2,Activision,T,2003,27,58,0.04,0.21,0,0.15,0.01,3153,9,6.4
Vicarious Visions,Platform,X2: Wolverine's Revenge,PS2,Activision,E,2003,8,72,0.05,0.2,0,0.14,0,3153,5,7.2
GenePool,Platform,X2: Wolverine's Revenge,PS2,Activision,T,2003,21,62,0.02,0.12,0,0.09,0,3153,8,6.6
Paradigm Entertainment,Racing,Stuntman: Ignition,X360,THQ,T,2007,38,75,0.31,0.64,0,0.25,0.07,3154,31,7.3
Paradigm Entertainment,Racing,Stuntman: Ignition,X360,THQ,T,2007,18,76,0.26,0.52,0,0.17,0.1,3154,12,6.2
Paradigm Entertainment,Racing,Stuntman: Ignition,X360,THQ,T,2007,8,71,0.1,0.27,0,0.13,0.03,3154,8,6.4
EA Canada,Sports,NBA Live 06,XB,Electronic Arts,E,2005,30,79,0.04,0.64,0,0.57,0.03,3155,15,6.4
EA Canada,Sports,NBA Live 06,XB,Electronic Arts,E,2005,18,80,0,0.42,0,0.39,0.03,3155,13,7.6
EA Canada,Sports,NBA Live 06,XB,Electronic Arts,E,2005,35,64,0,0.29,0,0.27,0.02,3155,16,5.6
BioWare,Action,Dragon Age II,PC,Electronic Arts,M,2011,75,79,0.29,1.11,0.01,0.72,0.09,3156,2380,4.5
BioWare,Action,Dragon Age II,PC,Electronic Arts,M,2011,52,82,0.26,0.83,0.05,0.4,0.11,3156,1197,4.3
BioWare,Action,Dragon Age II,PC,Electronic Arts,M,2011,45,82,0.33,0.63,0,0.23,0.08,3156,4533,4.5
Traveller's Tales,Action,LEGO Star Wars II: The Original Trilogy,X360,LucasArts,E10+,2006,32,84,0.64,2.69,0.01,1.85,0.19,3157,41,9
Traveller's Tales,Action,LEGO Star Wars II: The Original Trilogy,X360,LucasArts,E10+,2006,11,83,0.5,1.4,0,0.58,0.32,3157,26,8.6
Amaze Entertainment,Action,LEGO Star Wars II: The Original Trilogy,X360,LucasArts,E,2006,9,47,0.03,1.07,0,0.96,0.08,3157,38,5
Traveller's Tales,Action,LEGO Star Wars II: The Original Trilogy,X360,LucasArts,E10+,2006,25,84,0.19,0.97,0,0.75,0.03,3157,16,9.1
Traveller's Tales,Action,LEGO Star Wars II: The Original Trilogy,X360,LucasArts,E10+,2006,50,81,0.03,0.63,0,0.55,0.05,3157,45,8
Traveller's Tales,Action,LEGO Star Wars II: The Original Trilogy,X360,LucasArts,E10+,2006,27,85,0.1,0.44,0,0.33,0.02,3157,15,8.6
Amaze Entertainment,Action,LEGO Star Wars II: The Original Trilogy,X360,LucasArts,E,2006,5,55,0.02,0.09,0,0.06,0,3157,6,7
Traveller's Tales,Action,LEGO Star Wars II: The Original Trilogy,X360,Activision,E10+,2006,20,86,0.01,0.02,0,0,0,3157,64,8.2
Pandemic Studios,Action,The Lord of the Rings: Conquest,X360,Electronic Arts,T,2009,45,54,0.25,0.74,0,0.38,0.11,3162,57,7.1
Pandemic Studios,Action,The Lord of the Rings: Conquest,X360,Electronic Arts,T,2009,58,55,0.2,0.63,0,0.37,0.06,3162,110,7
Artificial Mind and Movement,Action,The Lord of the Rings: Conquest,X360,Electronic Arts,E10+,2009,9,61,0.01,0.1,0,0.09,0.01,3162,6,7.8
Pandemic Studios,Action,The Lord of the Rings: Conquest,X360,Electronic Arts,T,2009,24,57,0.02,0.02,0,0,0,3162,42,6.7
Free Radical Design,Shooter,TimeSplitters 2,XB,Eidos Interactive,T,2002,33,90,0.27,0.7,0,0.34,0.09,3163,127,8.8
Free Radical Design,Shooter,TimeSplitters 2,XB,Eidos Interactive,T,2002,20,88,0.33,0.64,0,0.29,0.01,3163,34,7.7
Free Radical Design,Shooter,TimeSplitters 2,XB,Eidos Interactive,T,2002,18,88,0.09,0.44,0,0.34,0.01,3163,65,9
Capcom,Action,Onimusha: Dawn of Dreams,PS2,Capcom,M,2006,45,81,0.12,0.64,0.34,0.15,0.04,3164,62,8.9
Cavia Inc.,Role-Playing,NieR,PS3,Square Enix,M,2010,58,68,0.18,0.61,0.2,0.17,0.07,3165,263,8.4
Cavia Inc.,Role-Playing,NieR,PS3,Square Enix,M,2010,60,67,0.1,0.29,0.04,0.13,0.02,3165,126,8.3
SEGA Racing Studio,Racing,Sega Rally Revo,PS3,Sega,E,2007,40,75,0.42,0.63,0,0.07,0.14,3167,20,7
SEGA Racing Studio,Racing,Sega Rally Revo,PS3,Sega,E,2007,42,77,0.28,0.45,0,0.12,0.05,3167,30,7.2
Bugbear,Racing,Sega Rally Revo,PS3,Sega,E,2007,14,74,0.15,0.25,0,0.03,0.07,3167,9,7.2
SEGA Racing Studio,Racing,Sega Rally Revo,PS3,Sega,E,2007,9,74,0.01,0.01,0,0,0,3167,18,7.6
